"rating","review"
"3","Büyük getir gerçekten çok yorucu. Her seferinde sipariş vermek için minimum 1 saat uğraşıyorum. Bugün 2 saatimi aldı. Bir değil iki değil. Çağrı merkezi kayıtlarımda var isterlerse ""tabi ilgileniyorlarsa"" kontrol edebilirler. Bu durum çok sıkmaya başladı artık. Bu 3 yıldızıda küçük getir hatrına ver...Yorumun TamamıBüyük getir gerçekten çok yorucu. Her seferinde sipariş vermek için minimum 1 saat uğraşıyorum. Bugün 2 saatimi aldı. Bir değil iki değil. Çağrı merkezi kayıtlarımda var isterlerse ""tabi ilgileniyorlarsa"" kontrol edebilirler. Bu durum çok sıkmaya başladı artık. Bu 3 yıldızıda küçük getir hatrına veriyorum. Bu kısım işini gerçekten iyi yürütüyor."
"3","Kuryeler siparişte uyarısı çıkıyor sürekli. Siparişimi vereyim sıraya koysun isterse 2 saat sonra getirsin ama böyle bir ihtimal yok. Telefon elimde sürekli sipariş vermeyi deniyorum. Tekrar sipariş vermeye çalışırken istediğim ürünler tükeniyor. Banabi uygulamasına geçiyor ordan sipariş veriyorum. ...Yorumun TamamıKuryeler siparişte uyarısı çıkıyor sürekli. Siparişimi vereyim sıraya koysun isterse 2 saat sonra getirsin ama böyle bir ihtimal yok. Telefon elimde sürekli sipariş vermeyi deniyorum. Tekrar sipariş vermeye çalışırken istediğim ürünler tükeniyor. Banabi uygulamasına geçiyor ordan sipariş veriyorum. Bence siparişler sıraya koyulabilmeli."
"1","Ürünleri seçip ödeme adımına geliyorsun, kartı seçip sipariş ver diyorsun ""yakınındaki kuryeler siparişte, daha sonra deneyin"" diyor. İnsanların vaktini neden boşuna çalıyorsunuz. Bu uyarıyı baştan vermek ya da ""siparişteler ama istersen şu kadar dakika sonra siparişini gönderebiliriz"" demek çok mu ...Yorumun TamamıÜrünleri seçip ödeme adımına geliyorsun, kartı seçip sipariş ver diyorsun ""yakınındaki kuryeler siparişte, daha sonra deneyin"" diyor. İnsanların vaktini neden boşuna çalıyorsunuz. Bu uyarıyı baştan vermek ya da ""siparişteler ama istersen şu kadar dakika sonra siparişini gönderebiliriz"" demek çok mu zor. Ayrıca son güncellemelerden sonra çok takılmaya başladı uygulama. Her iki Android cihazda da aynı sorunu yaşıyoruz."
"5","İsmini vermeyeyim ama, 8 Nisan da verdiğim marketten hâlâ teslimat yapılması! GETİR çok hızlı, en fazla 20 dk. içinde teslimatlarımız geliyor. Kuryelerde çok saygılı, kibar. Sadece ürün çeşitlerini biraz daha çoğaltırsanız sevinirim. Çok teşekkür ederim, iyi ki varsınız."
"3","Gerçekten iyisiniz ama lütfen artık sıraya alma özelliği gelsin. Sipariş verene kadar 20 30 kere kod alıp duruyorum. Iptal etmek de istemiyorum. Tek yaşıyorum ve sokağa çıkma yasağım var yoksa markete giderdim. O yüzden kullanıyorum ama bu özelliği çok kötü. Bunun yerine bir kere girsem de siparişin...Yorumun TamamıGerçekten iyisiniz ama lütfen artık sıraya alma özelliği gelsin. Sipariş verene kadar 20 30 kere kod alıp duruyorum. Iptal etmek de istemiyorum. Tek yaşıyorum ve sokağa çıkma yasağım var yoksa markete giderdim. O yüzden kullanıyorum ama bu özelliği çok kötü. Bunun yerine bir kere girsem de siparişiniz sıraya alındı şu dakika sonra çıksın deseniz daha iyi olur gerçekten."
"5","Günümüz şartlarından dolayı bazı aksaklıklar olsa da hizmet kalitesi hat safhada. Müşteri hizmetlerine bağlanmam 20 saniyeyi bulmadı, bu Türkiye için çok yüksek bir oran. Kuryesinden tutun da müşteri hizmetlerine kadar herkes çok ilgili, çok anlayışlı ve güleryüzlü. Bundan sonra ben de Getirciyim 💪"
"1","4 gündür su pompasını iade etmeye çalışıyorum, en az 10 defa aradım, müşteri temsilcisini her aradığımda gelip alacaklar dendi hala gelen yok. Şubeye ilgili şikayet kaydı oluşturdum konuyla ilgili geri dönüş yapılsın dedim o da yok. Bu ne ciddiyetsizlik, her şey ürünü satana kadar mı? Müşteriye sayg...Yorumun Tamamı4 gündür su pompasını iade etmeye çalışıyorum, en az 10 defa aradım, müşteri temsilcisini her aradığımda gelip alacaklar dendi hala gelen yok. Şubeye ilgili şikayet kaydı oluşturdum konuyla ilgili geri dönüş yapılsın dedim o da yok. Bu ne ciddiyetsizlik, her şey ürünü satana kadar mı? Müşteriye saygısı olmayan, yok sayan bir uygulama. Uygulamayı siliyorum."
"4","Yoğunluktan dolayı bağlanmam ve sipariş vermem epey zorlaştı maalesef ama sipariş alındıktan sonraki servis hızını ve kalitesini beğendim. Bu zamanlarda sipariş yetişmeye nasıl bir çözüm bulunur bilmiyorum ama bulunursa 5 yıldızı hakeder. Bir de soğuk sipariş verdiğimde durumu yeniden değerlendirece...Yorumun TamamıYoğunluktan dolayı bağlanmam ve sipariş vermem epey zorlaştı maalesef ama sipariş alındıktan sonraki servis hızını ve kalitesini beğendim. Bu zamanlarda sipariş yetişmeye nasıl bir çözüm bulunur bilmiyorum ama bulunursa 5 yıldızı hakeder. Bir de soğuk sipariş verdiğimde durumu yeniden değerlendireceğim."
"1","Bu zamanlar size en çok ihtiyacımız olduğu zamanlar ama Ankara/Bağlıcadan neden sipariş veremiyoruz. Türkiye'nin dört bir köşesinsen sipariş almanız lazım. Umarım bunu en kısa sürede düzeltirsiniz çünkü gerçekten size ihtiyacımız var."
"1","bu kadar rezil bir firma daha olamaz 2 saattir sipariş vermeye çalışıyoruz kuryrler siparişte diyor madem getirmeyeceksiniz isminizi siz istesenizde biz getiemeyecez yapın. maden getirmeyecektiniz bu damacanaları neden bize para ile sattınız müşteri hizmetlerine ulaşabilsem iadesiniz isticem bu kada...Yorumun Tamamıbu kadar rezil bir firma daha olamaz 2 saattir sipariş vermeye çalışıyoruz kuryrler siparişte diyor madem getirmeyeceksiniz isminizi siz istesenizde biz getiemeyecez yapın. maden getirmeyecektiniz bu damacanaları neden bize para ile sattınız müşteri hizmetlerine ulaşabilsem iadesiniz isticem bu kadar rezillik olamaz yani yapamıyorsanız kapatın kimseyi mağdur etmeyin. gerekli yerlere sikayet edicem. siz siz olun indirmeyin bile."
